slug,title,language,category,status,deep,network,hosts,platforms,added_date,updated_date,tags,path
pod-save-america,Pod Save America,en,news,active,True,Audioboom (2025 起;此前 SiriusXM),Jon Favreau / Jon Lovett / Dan Pfeiffer / Tommy Vietor,Apple Podcasts / Spotify / YouTube / Audioboom / Crooked Media,2026-08-03,2026-08-05,politics / left-wing / obama-alumni / news-commentary,podcasts/en/news/pod-save-america.md
post-reports,Post Reports,en,news,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/news/post-reports.md
reveal,Reveal,en,news,active,True,"Center for Investigative Reporting(CIR,The Reveal Project 旗下)","Al Letson(主理人 / 执行制片人,2015 起至今) / 轮值记者与编辑团队",Apple Podcasts / Spotify / PRX.org / revealnews.org(同步发布完整调查文章),2026-09-11,2026-09-11,field-research / 方法论范本 / investigative-reporting / longform-interview,podcasts/en/news/reveal.md
sway,Sway,en,news,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/news/sway.md
the-argument,The Argument,en,news,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/news/the-argument.md
the-daily,The Daily,en,news,active,True,The New York Times,Michael Barbaro / Sabrina Tavernise,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-03,news / journalism / daily / current-affairs / politics,podcasts/en/news/the-daily.md
the-rachel-maddow-show,The Rachel Maddow Show,en,news,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/news/the-rachel-maddow-show.md
the-rest-is-politics,The Rest Is Politics,en,news,active,True,Goalhanger Podcasts,"Alastair Campbell(前英国首相布莱尔幕僚长,前工党总联络官) / Rory Stewart(英国作家 / 政治家,前国际发展大臣,2019 保守党领袖候选人)",Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-11,时政 / 英国 / 深度对谈 / 跨光谱对话,podcasts/en/news/the-rest-is-politics.md
the-shawn-ryan-show,The Shawn Ryan Show,en,news,todo,False,Shawn Ryan Show 独立出品,"Shawn Ryan（前 Navy SEAL,前 CIA 承包商）",Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-04,时事 / 军事 / 文化 / 长访谈,podcasts/en/news/the-shawn-ryan-show.md
the-tucker-carlson-show,The Tucker Carlson Show,en,news,active,True,TCN(Tucker Carlson Network;发行合作 Red Seat Ventures),Tucker Carlson — 前 Fox News 黄金档主播(2023 离任),"Apple Podcasts / Spotify / YouTube(主频道 + TCN 频道) / X / Twitter / TCN(订阅制官网,2023-12 上线)",2026-08-05,2026-09-04,politics / news / interview / conservative / independent-media,podcasts/en/news/the-tucker-carlson-show.md
today-in-focus,Today in Focus,en,news,active,True,The Guardian,Nosheen Iqbal / Rotating Guardian journalists,Apple Podcasts / Spotify,2026-08-03,2026-08-03,news / journalism / current-affairs / UK / international,podcasts/en/news/today-in-focus.md
hidden-brain,Hidden Brain,en,science,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/science/hidden-brain.md
huberman-lab,Huberman Lab,en,science,active,True,Independent (Andrew Huberman),Andrew Huberman,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-05,neuroscience / health / self-improvement / science / biology,podcasts/en/science/huberman-lab.md
ologies,Ologies,en,science,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/science/ologies.md
radiolab,Radiolab,en,science,active,True,WNYC Studios / NPR,Lulu Miller / Latif Nasser,Apple Podcasts / Spotify,2026-08-03,2026-08-03,science / narrative / philosophy / documentary / storytelling,podcasts/en/science/radiolab.md
science-talk,Science Talk,en,science,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/science/science-talk.md
science-vs,Science Vs,en,science,active,True,Gimlet / Spotify,Wendy Zukerman,Apple Podcasts / Spotify,2026-08-03,2026-08-03,science / skepticism / health / explainer / evidence-based,podcasts/en/science/science-vs.md
the-peter-attia-drive,The Peter Attia Drive,en,science,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/science/the-peter-attia-drive.md
acquired,Acquired,en,tech,active,True,Independent,Ben Gilbert / David Rosenthal,Apple Podcasts / Spotify / YouTube / Overcast,2026-08-03,2026-08-03,business / tech / vc / company-history / longform,podcasts/en/tech/acquired.md
all-in,All-In Podcast,en,tech,active,True,Independent (All-In Media),Chamath Palihapitiya / Jason Calacanis / David Sacks / David Friedberg,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-03,vc / tech / politics / business / debate,podcasts/en/tech/all-in.md
exponent,Exponent,en,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/tech/exponent.md
founders,Founders Podcast,en,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/tech/founders.md
land-of-the-giants,Land of the Giants,en,tech,todo,False,,,,2026-09-11,2026-09-11,field-research / 行业案例 / investigative-reporting / tech-industry / longform-narrative,podcasts/en/tech/land-of-the-giants.md
lennys-podcast,Lenny's Podcast,en,tech,active,True,Independent (Lenny Rachitsky),Lenny Rachitsky,Apple Podcasts / Spotify / YouTube / Overcast,2026-08-03,2026-08-03,product-management / tech / career / startups / growth,podcasts/en/tech/lennys-podcast.md
logan-bartlett-show,Logan Bartlett Show,en,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/tech/logan-bartlett-show.md
my-first-million,My First Million,en,tech,active,True,Shaan Puri & Sam Parr 独立出品,"Shaan Puri(连续创业者,前 Bebo CEO) / Sam Parr(The Hustle 创始人,HubSpot 旗下)",Apple Podcasts / Spotify / YouTube,2026-08-03,2026-09-11,创业 / 商业灵感 / 头脑风暴 / 副业,podcasts/en/tech/my-first-million.md
pivot,Pivot,en,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/tech/pivot.md
reply-all,Reply All,en,tech,todo,False,,,,2026-09-11,2026-09-11,field-research / 方法论范本 / internet-deep-dive / narrative-nonfiction / investigative-reporting,podcasts/en/tech/reply-all.md
search-engine,Search Engine,en,tech,active,True,PJ Vogt 独立出品,"PJ Vogt(前 Reply All 联合主理人,Gimlet Media 创始团队成员)",Apple Podcasts / Spotify / YouTube / Substack,2026-09-04,2026-09-11,AI / 互联网文化 / 深度访谈 / PJ Vogt / 好奇心播客,podcasts/en/tech/search-engine.md
stratechery,Stratechery (Update + Interview),en,tech,active,True,独立出品(订阅制:Stratechery Plus);Ben Thompson 个人媒体,"Ben Thompson — 策略分析师,Stratechery 创始人(2014)",官网 stratechery.com(订阅) / Apple Podcasts / YouTube(部分访谈),2026-08-03,2026-09-05,tech-strategy / analysis / platforms / aggregation-theory / newsletter / subscription,podcasts/en/tech/stratechery.md
the-vergecast,The Vergecast,en,tech,active,True,The Verge (Vox Media),Nilay Patel,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-03,tech / consumer-tech / news / policy / gadgets,podcasts/en/tech/the-vergecast.md
this-week-in-startups,This Week in Startups,en,tech,active,True,Independent (Launch / Jason Calacanis),Jason Calacanis,Apple Podcasts / Spotify / YouTube,2026-08-03,2026-08-03,startups / vc / founders / angel-investing / tech,podcasts/en/tech/this-week-in-startups.md
this-week-in-tech,This Week in Tech (TWiT),en,tech,active,True,TWiT.tv (TWiT Network),Leo Laporte（创始人/主持人；TWiT.tv 网络创始人，前 TechTV《The Screen Savers》主持人） / 常驻圆桌嘉宾：Amy Webb（未来学家）、Iain Thomson（The Register）、Alex Wilhelm（TechCrunch）、Christina Warren（Microsoft）、Brianna Wu（开发者）,Apple Podcasts / Spotify / YouTube / twit.tv / RSS / Pocket Casts / Overcast / TuneIn 等,2026-09-22,2026-09-22,tech news / roundtable / consumer tech / AI / regulation / journalism,podcasts/en/tech/this-week-in-tech.md
training-data,Training Data,en,tech,todo,False,Sequoia Capital,Sonya Huang / Pat Grady（红杉资本合伙人）,Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-04,AI / 风险投资 / 红杉,podcasts/en/tech/training-data.md
waveform-the-mkbhd-podcast,Waveform: The MKBHD Podcast,en,tech,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/tech/waveform-the-mkbhd-podcast.md
crime-junkie,Crime Junkie,en,true-crime,active,True,Audiochuck / Tubi (video) / Red Seat Ventures (ads),Ashley Flowers / Brit Prawat,Apple Podcasts / Spotify / YouTube / Tubi (FAST 频道) / iHeart,2026-08-03,2026-08-05,true-crime / women-host / investigative / audiochuck,podcasts/en/true-crime/crime-junkie.md
dateline-nbc,Dateline NBC,en,true-crime,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/true-crime/dateline-nbc.md
the-last-podcast-on-the-left,Last Podcast On The Left,en,true-crime,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/true-crime/the-last-podcast-on-the-left.md
morbid,Morbid,en,true-crime,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/true-crime/morbid.md
my-favorite-murder,My Favorite Murder,en,true-crime,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/true-crime/my-favorite-murder.md
serial,Serial,en,true-crime,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/true-crime/serial.md
ai-bigbang,AI BigBang 大爆炸,zh,ai,active,True,独立出品 / 小宇宙平台,TODO(主播阵容以节目页最新公布为准),小宇宙 / Apple Podcasts / Spotify,2026-08-03,2026-08-05,AI / 大模型 / AI创业 / 行业观察 / IPO / AI智能体,podcasts/zh/ai/ai-bigbang.md
ai-zao-zhi-dao,AI 早知道,zh,ai,active,True,独立 / 后厂村之谜生态,顾琦 / 潘乱,小宇宙 / Apple Podcasts / Spotify / 喜马拉雅,2026-08-04,2026-08-04,AI / 互联网 / 新闻速递 / 嘉宾访谈 / 中文播客,podcasts/zh/ai/ai-zao-zhi-dao.md
ai-mei-zhou-tan,AI 每周谈,zh,ai,active,True,独立出品（与「品牌出海说」账号关联运营）,AI 每周谈 Eric（前亚马逊员工，自称'老巴信徒'）,小宇宙 / Apple Podcasts / Spotify,2026-08-04,2026-08-04,AI / AI商业 / 美股七巨头 / 大公司战略 / 通勤 / 付费单集,podcasts/zh/ai/ai-mei-zhou-tan.md
gui-gu-zao-zhi-dao,What's Next | 科技早知道(原「硅谷早知道」),zh,ai,active,True,声动活泼(上海斛律网络科技有限公司),"徐涛(创始人/制作人,原 36 氪驻硅谷记者) / 丁教(联合主播/制作人)",Apple Podcasts / 小宇宙 / 喜马拉雅 / 蜻蜓 FM / 网易云音乐 / 懒人听书 / 微信公众号(声动活泼),2026-08-05,2026-08-05,AI / 硅谷 / 科技 / 商业 / 出海 / 中文播客 / 全球科技,podcasts/zh/ai/gui-gu-zao-zhi-dao.md
shi-zi-lu-kou,十字路口 Crossing,zh,ai,active,True,独立 / 新世相声音森林播客计划,"杨远骋 Koji(主理人,新世相 / 躺岛联合创始人) / Ronghui(联合主播,科技 VC,前《第一财经周刊》驻硅谷记者)",小宇宙 / 微信公众号(十字路口) / Apple Podcasts / 网易云音乐 / 微博(@杨远骋Koji),2026-08-05,2026-08-05,AI / 科技 / 创业 / 投资 / 商业 / 中文播客 / AI 时代,podcasts/zh/ai/shi-zi-lu-kou.md
yuan-dian-talk,原点 Talk,zh,ai,active,True,至顶科技 × 北京 AI 原点社区（联合出品）,高飞（至顶科技 CEO 兼总编辑、《高飞的电子替身》主理人） / 路飞（至顶 AI 实验室联合主理人，分享会主持）,小宇宙 / Apple Podcasts / 喜马拉雅 / 科技行者视频矩阵（B 站、视频号、YouTube）,2026-08-04,2026-08-04,AI / AI创业 / Agent / AI硬件 / AI出海 / OPC / 深度访谈 / 圆桌 / 产业媒体,podcasts/zh/ai/yuan-dian-talk.md
wan-dian-liao,晚点聊 LateTalk,zh,ai,active,True,独立 / 后厂村之谜 / 乱翻书生态,洪浩 / 陈晶 / 汉洋,小宇宙 / Apple Podcasts / Spotify / 喜马拉雅 / 网易云音乐,2026-08-04,2026-08-04,AI / 互联网 / 创业 / 深度访谈 / 中文播客,podcasts/zh/ai/wan-dian-liao.md
zhi-neng-yong-xian,智能涌现,zh,ai,active,True,36 氪,郭海惟 / 36 氪科技报道组,36 氪开氪 / 小宇宙 / Apple Podcasts / 喜马拉雅,2026-08-04,2026-08-04,AI / 36氪 / 新闻速递 / 行业访谈 / 中文播客,podcasts/zh/ai/zhi-neng-yong-xian.md
wang-yu-quan-qian-shao,王煜全前哨,zh,ai,active,True,得到 APP(主)+ 头条 + 微信 + bilibili 直播(多元分发),"王煜全(主理人,海银资本创始合伙人 / Frost & Sullivan 中国区首席顾问)",得到 APP《前哨王煜全》专栏 / 得到 APP《全球创新 260 讲》专栏 / 今日头条(认证作者) / 微信公众号(王煜全 / 前哨) / bilibili 直播(认证:王煜全官方账号) / 视频号(王煜全),2026-08-05,2026-08-05,AI / 全球科技 / 投资 / 创新 / 科技趋势 / 海银资本 / 前哨大会,podcasts/zh/ai/wang-yu-quan-qian-shao.md
ying-di-hai-ke,硬地骇客(Hard Hacker / Indie Hacker 中文社区),zh,ai,active,True,独立(硬地骇客社区),"三位 10 年+互联网创业者(社区匿名,公开场合以""硬地骇客团队""出现)",小宇宙 / 喜马拉雅 / Apple Podcasts / 网易云音乐 / 微博(@硬地骇客) / 知识星球 / 官网 hardhacker.com / book.hardhacker.com,2026-08-05,2026-08-05,AI / 独立开发 / Indie Hacker / 超级个体 / Vibe Coding / AI Agent / 创业,podcasts/zh/ai/ying-di-hai-ke.md
lao-shi-tan-xin,老石谈芯,zh,ai,active,True,独立,老石(本名待核),bilibili / 今日头条 / 微博 / YouTube(视频号) / 视频号(微信),2026-08-04,2026-08-04,AI / 芯片 / 半导体 / 科普 / 硬科技 / 访谈 / 中文播客,podcasts/zh/ai/lao-shi-tan-xin.md
qian-hao-pin-dao,钱皓频道,zh,ai,active,True,独立(VC 视角自媒体),钱皓(皓哥),视频号(微信) / 抖音 / 小宇宙 / bilibili / 微博 / 简书 / 钛媒体 / 虎嗅,2026-08-04,2026-08-04,AI / 互联网 / VC 视角 / 商业洞察 / 中文播客,podcasts/zh/ai/qian-hao-pin-dao.md
bb-shang-ye,BB商业与品牌,zh,business,active,True,BB商业与品牌工作室(独立出品),BB商业与品牌主播团队(具体名单 TODO),Apple Podcasts / 小宇宙 / 其他主流平台,2026-08-03,2026-09-11,商业 / 品牌 / 营销 / 中文商业播客 / CPA中文播客奖,podcasts/zh/business/bb-shang-ye.md
san-wu-huan,三五环,zh,business,active,True,独立出品,刘飞,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,商业 / 互联网 / 产品经理 / 职场 / 创业,podcasts/zh/business/san-wu-huan.md
chuang-ye-nei-mu,创业内幕 Startup Insider,zh,business,active,True,创业内幕工作室(独立出品),主播团队(具体名单 TODO),Apple Podcasts / 小宇宙 / 其他主流平台,2026-08-03,2026-09-11,创业 / 创投 / 中文创业播客 / 投资人 / 商业模式,podcasts/zh/business/chuang-ye-nei-mu.md
ban-na-tie,半拿铁 | 商业沉浮录,zh,business,active,True,独立(刘飞 + 潇磊),"刘飞(主理人,前互联网大厂产品经理) / 潇磊(联合主播,前传媒系统财经口)",小宇宙 / 喜马拉雅 / Apple Podcasts / 网易云音乐 / 微博(@刘飞Lufy),2026-08-05,2026-08-05,商业故事 / 互联网 / AI 时代商业 / 创业 / 中文播客 / 跨界访谈,podcasts/zh/business/ban-na-tie.md
shangye-jiushi-zheyang,商业就是这样,zh,business,active,True,JustPod / 第一财经YiMagazine,肖文杰 / 约小亚,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,商业 / 公司 / 行业分析 / 财经,podcasts/zh/business/shangye-jiushi-zheyang.md
zhang-xiaojun-shangye-fangtan-lu,张小珺Jùn|商业访谈录,zh,business,active,True,腾讯新闻(多期首发平台);张小珺主理,张小珺 — 商业报道出身的访谈人(详细履历 **TODO**),小宇宙 / Apple Podcasts / 腾讯新闻(图文首发) / B 站 / 喜马拉雅(分发情况 **TODO**),2026-09-04,2026-09-05,商业 / 访谈 / AI / 大模型 / 创业 / 中国AI / 张小珺,podcasts/zh/business/zhang-xiaojun-shangye-fangtan-lu.md
gao-qian-nv-hai,搞钱女孩,zh,business,active,True,搞钱女孩工作室(独立出品),搞钱女孩主播团队(具体名单 TODO),Apple Podcasts / 小宇宙 / 蜻蜓 FM,2026-08-03,2026-09-11,商业 / 女性 / 财经 / 副业 / 搞钱,podcasts/zh/business/gao-qian-nv-hai.md
shen-liao-tou-zi-ren,深聊投资人,zh,business,active,True,深聊投资人工作室(独立出品),"深聊投资人主播团队(投资人 / 媒体人,具体名单 TODO)",小宇宙 / Apple Podcasts / 视频播客(2026-06 公募基金入局),2026-08-03,2026-09-11,投资 / VC / 深度对话 / 中文投资播客 / 公募基金,podcasts/zh/business/shen-liao-tou-zi-ren.md
zhi-xing-xiao-jiu-guan,知行小酒馆,zh,business,active,True,知行小酒馆工作室(独立出品),知行小酒馆主播团队(具体名单 TODO),Apple Podcasts / 小宇宙 / YouTube,2026-08-03,2026-09-11,理财 / 价值投资 / 投资实操 / 财经播客,podcasts/zh/business/zhi-xing-xiao-jiu-guan.md
duo-xin-xian-na,多新鲜呐,zh,comedy,todo,False,B 站原创视频播客,"于谦（相声演员,德云社）",哔哩哔哩,2026-09-04,2026-09-04,视频播客 / 综艺 / 二次元 / 生活方式,podcasts/zh/comedy/duo-xin-xian-na.md
gq-lab,GQ 实验室,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 长访谈 / 生活方式 / 人物特写,podcasts/zh/culture/gq-lab.md
gq-bao-dao,GQ 报道,zh,culture,active,True,智族 GQ(康泰纳仕中国),GQ 编辑部 / 轮值主笔,小宇宙(智族Talk) / Apple Podcasts / GQ 智族官网 / GQ 智族 微信公众号,2026-09-11,2026-09-11,田野调查 / 行业案例 / 长访谈 / 人物特写,podcasts/zh/culture/gq-bao-dao.md
talk-sanlian,Talk三联,zh,culture,active,True,"三联中读(三联生活传媒有限公司,《三联生活周刊》出品方)",《三联生活周刊》记者 / 主笔轮值(肖楚舟・主笔、魏倩・主笔、孙若茜・主任记者等;主编李鸿谷不定期对谈),Apple Podcasts / 三联中读 APP / 小宇宙 / Spotify 等第三方平台 / B站《三联生活周刊》账号(视频版),2026-08-05,2026-09-04,文化 / 新闻 / 书业 / 三联生活周刊 / 封面故事 / 记者对谈,podcasts/zh/culture/talk-sanlian.md
shang-hai-shu-ping,上海书评,zh,culture,active,True,澎湃新闻 / 近读工作室,近读工作室团队 + 嘉宾轮值(许子东、骆以军、许纪霖、姜进、毛尖 等),小宇宙 / Apple Podcasts / 喜马拉雅 / 澎湃新闻客户端,2026-09-04,2026-09-11,书评 / 学术 / 文学 / 澎湃播客矩阵 / 近读工作室,podcasts/zh/culture/shang-hai-shu-ping.md
dong-ya-guan-cha-ju,东亚观察局,zh,culture,active,True,JustPod,杨一 / 梵一如 / 沙青青,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,东亚 / 国际 / 时政 / 日本 / 韩国,podcasts/zh/culture/dong-ya-guan-cha-ju.md
luan-fan-shu,乱翻书,zh,culture,active,True,独立出品,潘乱,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,读书 / 商业 / 互联网 / 产品 / 知识,podcasts/zh/culture/luan-fan-shu.md
ren-jian-the-livings,人间 theLivings,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 非虚构叙事 / 人物特写 / 长访谈,podcasts/zh/culture/ren-jian-the-livings.md
bing-chuan-si-xiang-ku,冰川思想库,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 文化政策 / 思想评论 / 长访谈,podcasts/zh/culture/bing-chuan-si-xiang-ku.md
bo-yang-cong,剥洋葱,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 调查报道 / 非虚构叙事 / 长访谈,podcasts/zh/culture/bo-yang-cong.md
da-nei-mi-tan,大内密谈,zh,culture,active,True,独立出品,相征 / 伍叁伍肆（多位常驻）,Apple Podcasts / 小宇宙 / Spotify / 网易云音乐,2026-08-03,2026-08-03,音乐 / 流行文化 / 文娱 / 娱乐 / 亚文化,podcasts/zh/culture/da-nei-mi-tan.md
ru-ci-cheng-shi,如此城市 CityTells,zh,culture,active,True,澎湃新闻 / 澎湃研究所,澎湃研究所·试说新语工作室(编辑团队),小宇宙 / Apple Podcasts / 喜马拉雅 / 澎湃新闻客户端,2026-09-04,2026-09-11,城市 / 文化 / 人文 / 澎湃播客矩阵 / 城市叙事,podcasts/zh/culture/ru-ci-cheng-shi.md
xiao-tian-zhang,小天章,zh,culture,active,True,章泽天个人节目(独立出品),章泽天(主理 / 京东集团 CFO 顾问),小宇宙 / Apple Podcasts / 小红书(视频切片「小天章 ON AIR」),2026-09-04,2026-09-11,访谈 / 名人 / 女性成长 / 视频播客 / 章泽天,podcasts/zh/culture/xiao-tian-zhang.md
yan-zhong-hua-shu,岩中花述,zh,culture,active,True,Toate(品牌播客),陈鲁豫(主理),Apple Podcasts / 小宇宙 / 其他主流平台,2026-08-03,2026-09-11,文化 / 访谈 / 鲁豫 / 女性题材 / 品牌播客,podcasts/zh/culture/yan-zhong-hua-shu.md
san-ming-zhi,开放三明治,zh,culture,active,True,中国三明治(英文名 Sandwichina),中国三明治编辑团队(轮值主播),Apple Podcasts / 小宇宙 / sandwichina.com 官网,2026-09-11,2026-09-11,田野调查 / 行业案例 / 长访谈 / 非虚构叙事 / 写作工作坊 / 中国三明治,podcasts/zh/culture/san-ming-zhi.md
hu-zuo-hu-you,忽左忽右,zh,culture,active,True,JustPod,程衍樑（Ian） / 杨一,Apple Podcasts / 小宇宙 / Spotify,2026-08-03,2026-08-03,人文 / 社科 / 时政 / 访谈 / 国际视野,podcasts/zh/culture/hu-zuo-hu-you.md
gushi-fm,故事FM,zh,culture,active,True,独立出品,寇爱哲,Apple Podcasts / 小宇宙 / Spotify / 网易云音乐,2026-08-03,2026-08-03,纪实 / 叙事 / 口述史 / 普通人故事 / 非虚构,podcasts/zh/culture/gushi-fm.md
gu-shi-ying-he,故事硬核,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 非虚构叙事 / 长访谈 / 文学叙事,podcasts/zh/culture/gu-shi-ying-he.md
wen-hua-zong-heng,文化纵横,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 文化政策 / 思想评论 / 长访谈,podcasts/zh/culture/wen-hua-zong-heng.md
ren-wu,是个人物,zh,culture,active,True,人物杂志 / 澎湃新闻(关联),《人物》杂志主笔团队(轮值主播) / 嘉宾主笔(《人物》杂志编辑),Apple Podcasts / 小宇宙 / Podimo / Podwise,2026-09-11,2026-09-11,田野调查 / 行业案例 / 长访谈 / 人物特写 / 非虚构叙事 / 人物杂志,podcasts/zh/culture/ren-wu.md
leng-jing,棱镜,zh,culture,todo,False,,,,2026-09-11,2026-09-11,田野调查 / 行业案例 / 调查报道 / 金融科技 / 长访谈,podcasts/zh/culture/leng-jing.md
zheng-wu,正午,zh,culture,active,True,正午故事(独立非虚构写作平台),"郭玉洁(主理人,作家 / 资深媒体人) / 正午编辑部(轮值主笔)",Apple Podcasts / 小宇宙 / 正午故事官网 / 微信公众号,2026-09-11,2026-09-11,田野调查 / 行业案例 / 非虚构叙事 / 人物特写,podcasts/zh/culture/zheng-wu.md
mei-lixiang-bianjibu,没理想编辑部,zh,culture,active,True,看理想(新媒体部出品),荞木(看理想编辑) / 小田(看理想编辑) / 林蓝(看理想编辑) / 思臻(看理想编辑),小宇宙 / Apple Podcasts / 看理想 APP / 豆瓣播客,2026-08-05,2026-09-04,文化 / 生活 / 编辑部 / 闲聊 / 看理想 / 书业,podcasts/zh/culture/mei-lixiang-bianjibu.md
lian-yi-xiao-ying,涟漪效应,zh,culture,active,True,澎湃新闻 / 人物 / 镜相栏目,澎湃人物 / 镜相栏目编辑团队(轮值主播),小宇宙 / Apple Podcasts / 喜马拉雅 / 澎湃新闻客户端,2026-09-04,2026-09-11,文化 / 人物 / 文艺评论 / 澎湃播客矩阵 / 调查报道,podcasts/zh/culture/lian-yi-xiao-ying.md
peng-pai-jing-xiang,澎湃·镜相,zh,culture,active,True,澎湃新闻(镜相栏目),澎湃新闻镜相栏目编辑团队,澎湃新闻客户端 / 小宇宙 / Apple Podcasts,2026-09-11,2026-09-11,田野调查 / 方法论范本 / 调查报道 / 非虚构叙事 / 长访谈,podcasts/zh/culture/peng-pai-jing-xiang.md
kan-lixiang-yuanzhuo,看理想圆桌,zh,culture,active,True,"看理想(理想国旗下文化品牌,「知识的剧场」)",看理想编辑部轮值主持 + 嘉宾制,看理想 APP / Apple Podcasts / Spotify / 小宇宙 / 豆瓣播客,2026-08-05,2026-09-04,文化 / 人文 / 理想国 / 看理想 / 圆桌 / 书业,podcasts/zh/culture/kan-lixiang-yuanzhuo.md
zhen-shi-gu-shi,真实故事,zh,culture,active,True,"真实故事计划(独立非虚构写作平台,2015 创立)","雷磊(创始人,资深媒体人 / 非虚构写作者) / 真实故事编辑团队(轮值主笔)",Apple Podcasts / 小宇宙 / Spotify / 真实故事计划官网 / 微信公众号,2026-09-11,2026-09-11,田野调查 / 行业案例 / 口述史 / 非虚构叙事 / 长访谈,podcasts/zh/culture/zhen-shi-gu-shi.md
duan-chuan-mei,端传媒,zh,culture,active,True,"端传媒(Initium Media,The Initium Project)","端传媒编辑团队(轮值主播,具体名单 TODO)",端传媒官网 / Spotify / Apple Podcasts / Acast,2026-09-11,2026-09-11,田野调查 / 行业案例 / 调查报道 / 非虚构叙事 / 长访谈 / 端传媒,podcasts/zh/culture/duan-chuan-mei.md
zi-ran-guang,自然光,zh,culture,active,True,哔哩哔哩(B站)原创视频播客 / 个人出品,"窦文涛(主理人,前凤凰卫视《锵锵三人行》1998 起、《圆桌派》主持人)",哔哩哔哩(BV 号) / 小宇宙 / Apple Podcasts / Spotify(同步同步音频版),2026-09-04,2026-09-09,视频播客 / 聊客 / 哲学 / 文化 / 书房对谈 / 4小时长访谈,podcasts/zh/culture/zi-ran-guang.md
luosi-zai-ningjin,螺丝在拧紧,zh,culture,active,True,单读(吴琦主编的《单读》mook 团队;Apple「单读频道」),"吴琦 —《单读》主编,文化与非虚构对谈主持人",Apple Podcasts(单读频道) / 小宇宙等第三方播客平台,2026-08-05,2026-09-04,文化 / 访谈 / 单读 / 非虚构 / 青年文化 / 书业,podcasts/zh/culture/luosi-zai-ningjin.md
yan-wai-zhi-yi,言外之易,zh,culture,active,True,新浪新闻,"易立竞(主理 / 资深媒体人,前《人物》主笔 / 《立场》主持人)",哔哩哔哩 / 新浪微博 / 抖音 / 小宇宙,2026-09-04,2026-09-11,视频播客 / 深度访谈 / 名人访谈 / 3-4 小时长访谈 / 易立竞,podcasts/zh/culture/yan-wai-zhi-yi.md
duku-liti-sheng,读库立体声,zh,culture,active,True,读库(老六张立宪创办的 MOOK 品牌),张立宪(老六)— 读库主编 / 出版人,Apple Podcasts / Spotify / 微信公众号 / 微博「读库」(动态),2026-08-05,2026-09-04,出版 / 书业 / 读库 / 对谈 / 阅读 / 张立宪,podcasts/zh/culture/duku-liti-sheng.md
gu-yu-shi-yan-shi,谷雨实验室,zh,culture,active,True,腾讯新闻(谷雨工作室),腾讯新闻谷雨团队(总编辑 + 调查记者) / 轮值主笔(每期由具体记者担纲),腾讯新闻 App / 微信公众号(谷雨实验室) / 腾讯新闻网页 / Apple Podcasts / 小宇宙(同步音频版),2026-09-11,2026-09-11,田野调查 / 行业案例 / 调查报道 / 驻场式,podcasts/zh/culture/gu-yu-shi-yan-shi.md
